location,sex,draw,exposure,value,outcome
ethiopia,Female,draw_278,64.33433,142.01879887770818,birth_weight
ethiopia,Female,draw_278,64.44444,142.0096063757428,birth_weight
ethiopia,Female,draw_278,64.55455,142.00027549798256,birth_weight
ethiopia,Female,draw_278,64.66466,141.99058963196944,birth_weight
ethiopia,Female,draw_278,64.77477,141.98053711060334,birth_weight
ethiopia,Female,draw_278,64.88488,141.97004085377338,birth_weight
ethiopia,Female,draw_278,64.99499,141.95917279940164,birth_weight
ethiopia,Female,draw_278,65.10511,141.9478634168784,birth_weight
ethiopia,Female,draw_278,65.21522,141.93620310864836,birth_weight
ethiopia,Female,draw_278,65.32533,141.92405944883063,birth_weight
ethiopia,Female,draw_278,65.43544,141.91133080856667,birth_weight
ethiopia,Female,draw_278,65.54555,141.89787511754992,birth_weight
ethiopia,Female,draw_278,65.65566,141.88371857278878,birth_weight
ethiopia,Female,draw_278,65.76577,141.8688910443099,birth_weight
ethiopia,Female,draw_278,65.87588,141.8533211721304,birth_weight
ethiopia,Female,draw_278,65.98599,141.83687878568242,birth_weight
ethiopia,Female,draw_278,66.0961,141.81946791520255,birth_weight
ethiopia,Female,draw_278,66.20621,141.80104563582705,birth_weight
ethiopia,Female,draw_278,66.31632,141.7814614141668,birth_weight
ethiopia,Female,draw_278,66.42643,141.76089177638906,birth_weight
ethiopia,Female,draw_278,66.53654,141.73934776014852,birth_weight
ethiopia,Female,draw_278,66.64665,141.7168220706075,birth_weight
ethiopia,Female,draw_278,66.75676,141.69332330673743,birth_weight
ethiopia,Female,draw_278,66.86687,141.66884628667594,birth_weight
ethiopia,Female,draw_278,66.97698,141.64323381095048,birth_weight
ethiopia,Female,draw_278,67.08709,141.6165509365119,birth_weight
ethiopia,Female,draw_278,67.1972,141.5888874649449,birth_weight
ethiopia,Female,draw_278,67.30731,141.56022058728206,birth_weight
ethiopia,Female,draw_278,67.41742,141.53051111026554,birth_weight
ethiopia,Female,draw_278,67.52753,141.49968189079263,birth_weight
ethiopia,Female,draw_278,67.63764,141.46762774356807,birth_weight
ethiopia,Female,draw_278,67.74775,141.4341760392829,birth_weight
ethiopia,Female,draw_278,67.85786,141.39952190474887,birth_weight
ethiopia,Female,draw_278,67.96797,141.36366639061475,birth_weight
ethiopia,Female,draw_278,68.07808,141.32647342208037,birth_weight
ethiopia,Female,draw_278,68.18819,141.28772735878033,birth_weight
ethiopia,Female,draw_278,68.2983,141.24713133211714,birth_weight
ethiopia,Female,draw_278,68.40841,141.20425302082418,birth_weight
ethiopia,Female,draw_278,68.51852,141.15911046970444,birth_weight
ethiopia,Female,draw_278,68.62863,141.11141306107157,birth_weight
ethiopia,Female,draw_278,68.73874,141.06101801696292,birth_weight
ethiopia,Female,draw_278,68.84885,141.00786764524958,birth_weight
ethiopia,Female,draw_278,68.95896,140.95197548572827,birth_weight
ethiopia,Female,draw_278,69.06907,140.8931448994253,birth_weight
ethiopia,Female,draw_278,69.17918,140.83100689749162,birth_weight
ethiopia,Female,draw_278,69.28929,140.76584575438733,birth_weight
ethiopia,Female,draw_278,69.3994,140.69762025410637,birth_weight
ethiopia,Female,draw_278,69.50951,140.62630827495596,birth_weight
ethiopia,Female,draw_278,69.61962,140.55194093857548,birth_weight
ethiopia,Female,draw_278,69.72973,140.47449303524613,birth_weight
ethiopia,Female,draw_278,69.83984,140.39341309750444,birth_weight
ethiopia,Female,draw_278,69.94995,140.30897704781614,birth_weight
ethiopia,Female,draw_278,70.06006,140.22106284872982,birth_weight
ethiopia,Female,draw_278,70.17017,140.12959794746507,birth_weight
ethiopia,Female,draw_278,70.28028,140.03455121689765,birth_weight
ethiopia,Female,draw_278,70.39039,139.9358976295419,birth_weight
ethiopia,Female,draw_278,70.5005,139.8333352399811,birth_weight
ethiopia,Female,draw_278,70.61061,139.72655927816703,birth_weight
ethiopia,Female,draw_278,70.72072,139.61614973192596,birth_weight
ethiopia,Female,draw_278,70.83083,139.50208796317798,birth_weight
ethiopia,Female,draw_278,70.94094,139.38437293512334,birth_weight
ethiopia,Female,draw_278,71.05105,139.26300313855904,birth_weight
ethiopia,Female,draw_278,71.16116,139.13793699163386,birth_weight
ethiopia,Female,draw_278,71.27127,139.00835208464372,birth_weight
ethiopia,Female,draw_278,71.38138,138.87479635300346,birth_weight
ethiopia,Female,draw_278,71.49149,138.7374131296222,birth_weight
ethiopia,Female,draw_278,71.6016,138.59615523767712,birth_weight
ethiopia,Female,draw_278,71.71171,138.45099480240907,birth_weight
ethiopia,Female,draw_278,71.82182,138.30189901065881,birth_weight
ethiopia,Female,draw_278,71.93193,138.14854814419715,birth_weight
ethiopia,Female,draw_278,72.04204,137.9906718896214,birth_weight
ethiopia,Female,draw_278,72.15215,137.82885682454005,birth_weight
ethiopia,Female,draw_278,72.26226,137.66309444970256,birth_weight
ethiopia,Female,draw_278,72.37237,137.49338940320945,birth_weight
