Unnamed: 0,anc1,parameter,exposure,draw,location,rr,location_id,ifa_coverage,bw_start,bw_end,ga_start,ga_end
964,True,cat32,0.028899937849596,draw_28,pakistan,0.9027226328616246,165,0.6547112360263834,2000,2500,38,40
965,True,cat35,0.0241143567433188,draw_28,pakistan,0.9027226328616246,165,0.6547112360263834,2000,2500,37,38
966,True,cat37,0.0215040397762585,draw_28,pakistan,0.9027226328616246,165,0.6547112360263834,2500,3000,34,36
967,True,cat40,0.0159105034182722,draw_28,pakistan,0.9027226328616246,165,0.6547112360263834,2500,3000,36,37
968,True,cat117,0.0146674953387197,draw_28,pakistan,0.9027226328616246,165,0.6547112360263834,1500,2000,38,40
969,True,cat24,0.0130515848353014,draw_28,pakistan,0.9027226328616246,165,0.6547112360263834,1500,2000,37,38
970,True,cat33,0.0109384711000621,draw_28,pakistan,0.9027226328616246,165,0.6547112360263834,2500,3000,32,34
971,True,cat56,0.0258545680546923,draw_28,pakistan,0.9027226328616246,165,0.6547112360263834,4000,9999,40,42
972,True,cat117,0.0163382072472981,draw_156,pakistan,0.9164980805611505,165,0.6631829147472476,1500,2000,38,40
973,True,cat22,0.002983219390926,draw_28,pakistan,0.9027226328616246,165,0.6547112360263834,1000,1500,32,34
974,True,cat21,0.0027346177750155,draw_28,pakistan,0.9027226328616246,165,0.6547112360263834,1000,1500,28,30
975,True,cat52,0.1525746980292434,draw_156,pakistan,0.9164980805611505,165,0.6631829147472476,3000,3500,38,40
976,True,cat44,0.105403687221869,draw_156,pakistan,0.9164980805611505,165,0.6631829147472476,2500,3000,38,40
977,True,cat54,0.0909726636999364,draw_156,pakistan,0.9164980805611505,165,0.6631829147472476,3500,4000,38,40
978,True,cat48,0.0854418308963763,draw_156,pakistan,0.9164980805611505,165,0.6631829147472476,3000,3500,37,38
979,True,cat42,0.0819453273998728,draw_156,pakistan,0.9164980805611505,165,0.6631829147472476,2500,3000,37,38
980,True,cat51,0.0460267005721551,draw_156,pakistan,0.9164980805611505,165,0.6631829147472476,3000,3500,40,42
981,True,cat82,0.0003107520198881,draw_28,pakistan,0.9027226328616246,165,0.6547112360263834,3000,3500,28,30
982,True,cat53,0.0428480610298792,draw_156,pakistan,0.9164980805611505,165,0.6631829147472476,4000,9999,38,40
983,True,cat50,0.0322314049586776,draw_156,pakistan,0.9164980805611505,165,0.6631829147472476,3500,4000,37,38
984,True,cat32,0.0309599491417673,draw_156,pakistan,0.9164980805611505,165,0.6631829147472476,2000,2500,38,40
985,True,cat43,0.0288620470438652,draw_156,pakistan,0.9164980805611505,165,0.6631829147472476,2500,3000,40,42
986,True,cat56,0.0256198347107438,draw_156,pakistan,0.9164980805611505,165,0.6631829147472476,4000,9999,40,42
987,True,cat35,0.0247298156389065,draw_156,pakistan,0.9164980805611505,165,0.6631829147472476,2000,2500,37,38
988,True,cat37,0.0204068658614113,draw_156,pakistan,0.9164980805611505,165,0.6631829147472476,2500,3000,34,36
989,True,cat55,0.0361729179910998,draw_156,pakistan,0.9164980805611505,165,0.6631829147472476,3500,4000,40,42
990,True,cat20,0.0027967681789931,draw_28,pakistan,0.9027226328616246,165,0.6547112360263834,1500,2000,28,30
991,True,cat14,0.0003107520198881,draw_28,pakistan,0.9027226328616246,165,0.6547112360263834,500,1000,30,32
992,True,cat8,0.0004350528278433,draw_28,pakistan,0.9027226328616246,165,0.6547112360263834,500,1000,0,24
993,True,cat41,0.0022374145431945,draw_28,pakistan,0.9027226328616246,165,0.6547112360263834,3500,4000,34,36
994,True,cat19,0.0021131137352392,draw_28,pakistan,0.9027226328616246,165,0.6547112360263834,1000,1500,34,36
995,True,cat15,0.0013673088875077,draw_28,pakistan,0.9027226328616246,165,0.6547112360263834,500,1000,28,30
996,True,cat46,0.0011187072715972,draw_28,pakistan,0.9027226328616246,165,0.6547112360263834,4000,9999,36,37
997,True,cat106,0.0010565568676196,draw_28,pakistan,0.9027226328616246,165,0.6547112360263834,1000,1500,36,37
998,True,cat89,0.0010565568676196,draw_28,pakistan,0.9027226328616246,165,0.6547112360263834,3000,3500,30,32
999,True,cat90,0.0004350528278433,draw_28,pakistan,0.9027226328616246,165,0.6547112360263834,3500,4000,30,32
1000,True,cat17,0.000994406463642,draw_28,pakistan,0.9027226328616246,165,0.6547112360263834,1000,1500,26,28
1001,True,cat81,0.0009322560596643,draw_28,pakistan,0.9027226328616246,165,0.6547112360263834,2500,3000,28,30
1002,True,cat96,0.0008701056556867,draw_28,pakistan,0.9027226328616246,165,0.6547112360263834,3500,4000,32,34
1003,True,cat11,0.0007458048477315,draw_28,pakistan,0.9027226328616246,165,0.6547112360263834,500,1000,26,28
1004,True,cat38,0.0007458048477315,draw_28,pakistan,0.9027226328616246,165,0.6547112360263834,4000,9999,34,36
1005,True,cat10,0.0006836544437538,draw_28,pakistan,0.9027226328616246,165,0.6547112360263834,500,1000,24,26
1006,True,cat2,0.0006215040397762,draw_28,pakistan,0.9027226328616246,165,0.6547112360263834,0,500,0,24
1007,True,cat80,0.000994406463642,draw_28,pakistan,0.9027226328616246,165,0.6547112360263834,2000,2500,28,30
1008,True,cat124,0.004891640866873,draw_94,pakistan,0.9032655819168875,165,0.655374045240851,1000,1500,37,38
1009,True,cat27,0.0046439628482972,draw_94,pakistan,0.9032655819168875,165,0.655374045240851,1500,2000,30,32
1010,True,cat23,0.0039009287925696,draw_94,pakistan,0.9032655819168875,165,0.655374045240851,1000,1500,30,32
1011,True,cat55,0.0380337941628264,draw_109,pakistan,0.898202185954258,165,0.6511882596118516,3500,4000,40,42
1012,True,cat43,0.0313978494623655,draw_109,pakistan,0.898202185954258,165,0.6511882596118516,2500,3000,40,42
1013,True,cat50,0.0310906298003072,draw_109,pakistan,0.898202185954258,165,0.6511882596118516,3500,4000,37,38
1014,True,cat32,0.029984639016897,draw_109,pakistan,0.898202185954258,165,0.6511882596118516,2000,2500,38,40
1015,True,cat35,0.024700460829493,draw_109,pakistan,0.898202185954258,165,0.6511882596118516,2000,2500,37,38
1016,True,cat56,0.0237173579109063,draw_109,pakistan,0.898202185954258,165,0.6511882596118516,4000,9999,40,42
1017,True,cat53,0.0435637480798771,draw_109,pakistan,0.898202185954258,165,0.6511882596118516,4000,9999,38,40
1018,True,cat37,0.021689708141321,draw_109,pakistan,0.898202185954258,165,0.6511882596118516,2500,3000,34,36
1019,True,cat40,0.0154838709677419,draw_109,pakistan,0.898202185954258,165,0.6511882596118516,2500,3000,36,37
1020,True,cat34,0.0131490015360983,draw_109,pakistan,0.898202185954258,165,0.6511882596118516,2000,2500,34,36
1021,True,cat24,0.0111827956989247,draw_109,pakistan,0.898202185954258,165,0.6511882596118516,1500,2000,37,38
1022,True,cat39,0.0105069124423963,draw_109,pakistan,0.898202185954258,165,0.6511882596118516,3000,3500,34,36
1023,True,cat33,0.0098924731182795,draw_109,pakistan,0.898202185954258,165,0.6511882596118516,2500,3000,32,34
1024,True,cat45,0.0095852534562211,draw_109,pakistan,0.898202185954258,165,0.6511882596118516,3000,3500,36,37
1025,True,cat117,0.016036866359447,draw_109,pakistan,0.898202185954258,165,0.6511882596118516,1500,2000,38,40
1026,True,cat49,0.0087864823348694,draw_109,pakistan,0.898202185954258,165,0.6511882596118516,4000,9999,37,38
1027,True,cat51,0.0501382488479262,draw_109,pakistan,0.898202185954258,165,0.6511882596118516,3000,3500,40,42
1028,True,cat42,0.0826420890937019,draw_109,pakistan,0.898202185954258,165,0.6511882596118516,2500,3000,37,38
1029,True,cat17,0.0009937888198757,draw_170,pakistan,0.8690410669692894,165,0.6383390341837937,1000,1500,26,28
1030,True,cat38,0.0009316770186335,draw_170,pakistan,0.8690410669692894,165,0.6383390341837937,4000,9999,34,36
1031,True,cat15,0.0006832298136645,draw_170,pakistan,0.8690410669692894,165,0.6383390341837937,500,1000,28,30
1032,True,cat81,0.0006832298136645,draw_170,pakistan,0.8690410669692894,165,0.6383390341837937,2500,3000,28,30
1033,True,cat8,0.0006211180124223,draw_170,pakistan,0.8690410669692894,165,0.6383390341837937,500,1000,0,24
1034,True,cat10,0.0005590062111801,draw_170,pakistan,0.8690410669692894,165,0.6383390341837937,500,1000,24,26
1035,True,cat48,0.0816589861751152,draw_109,pakistan,0.898202185954258,165,0.6511882596118516,3000,3500,37,38
1036,True,cat2,0.0004968944099378,draw_170,pakistan,0.8690410669692894,165,0.6383390341837937,0,500,0,24
1037,True,cat82,0.0004347826086956,draw_170,pakistan,0.8690410669692894,165,0.6383390341837937,3000,3500,28,30
1038,True,cat90,0.0002484472049689,draw_170,pakistan,0.8690410669692894,165,0.6383390341837937,3500,4000,30,32
1039,True,cat14,0.0001863354037267,draw_170,pakistan,0.8690410669692894,165,0.6383390341837937,500,1000,30,32
1040,True,cat52,0.1482642089093702,draw_109,pakistan,0.898202185954258,165,0.6511882596118516,3000,3500,38,40
1041,True,cat44,0.109247311827957,draw_109,pakistan,0.898202185954258,165,0.6511882596118516,2500,3000,38,40
1042,True,cat54,0.0893394777265745,draw_109,pakistan,0.898202185954258,165,0.6511882596118516,3500,4000,38,40
1043,True,cat46,0.0004347826086956,draw_170,pakistan,0.8690410669692894,165,0.6383390341837937,4000,9999,36,37
1044,True,cat11,0.0011180124223602,draw_170,pakistan,0.8690410669692894,165,0.6383390341837937,500,1000,26,28
1045,True,cat31,0.008663594470046,draw_109,pakistan,0.898202185954258,165,0.6511882596118516,2000,2500,40,42
1046,True,cat116,0.0073118279569892,draw_109,pakistan,0.898202185954258,165,0.6511882596118516,1000,1500,38,40
1047,True,cat106,0.0015360983102918,draw_109,pakistan,0.898202185954258,165,0.6511882596118516,1000,1500,36,37
1048,True,cat89,0.0014746543778801,draw_109,pakistan,0.898202185954258,165,0.6511882596118516,3000,3500,30,32
1049,True,cat17,0.0011674347158218,draw_109,pakistan,0.898202185954258,165,0.6511882596118516,1000,1500,26,28
1050,True,cat96,0.0011059907834101,draw_109,pakistan,0.898202185954258,165,0.6511882596118516,3500,4000,32,34
1051,True,cat81,0.0009831029185867,draw_109,pakistan,0.898202185954258,165,0.6511882596118516,2500,3000,28,30
1052,True,cat11,0.0008602150537634,draw_109,pakistan,0.898202185954258,165,0.6511882596118516,500,1000,26,28
1053,True,cat80,0.0015975422427035,draw_109,pakistan,0.898202185954258,165,0.6511882596118516,2000,2500,28,30
