location,draw,sex,age_start,age_end,parameter,value
pakistan,draw_28,Male,0.0,0.01917808,43.85385,0.4350606905980887
ethiopia,draw_28,Female,0.0,0.01917808,43.96396,0.7546414257418568
ethiopia,draw_28,Male,0.0,0.01917808,43.96396,0.6778960107400107
nigeria,draw_28,Female,0.0,0.01917808,43.96396,0.6775153239988644
nigeria,draw_28,Male,0.0,0.01917808,43.96396,0.6593420768892455
pakistan,draw_28,Female,0.0,0.01917808,43.96396,0.3796774756746234
pakistan,draw_28,Male,0.0,0.01917808,43.96396,0.43612552143726036
ethiopia,draw_28,Female,0.0,0.01917808,44.07407,0.7556841101713148
ethiopia,draw_28,Male,0.0,0.01917808,44.07407,0.6789427015177633
nigeria,draw_28,Female,0.0,0.01917808,44.07407,0.6786158752918302
nigeria,draw_28,Male,0.0,0.01917808,44.07407,0.6604273702767105
pakistan,draw_28,Female,0.0,0.01917808,44.07407,0.3807601472305915
pakistan,draw_28,Male,0.0,0.01917808,44.07407,0.4371920552930461
ethiopia,draw_28,Female,0.0,0.01917808,44.18418,0.7567264772790946
ethiopia,draw_28,Male,0.0,0.01917808,44.18418,0.6799897397508892
nigeria,draw_28,Female,0.0,0.01917808,44.18418,0.6797163993920187
nigeria,draw_28,Male,0.0,0.01917808,44.18418,0.6615132853461378
pakistan,draw_28,Female,0.0,0.01917808,44.18418,0.38184560086414343
pakistan,draw_28,Male,0.0,0.01917808,44.18418,0.43826031769038815
ethiopia,draw_28,Female,0.0,0.01917808,44.29429,0.7577684359713123
ethiopia,draw_28,Male,0.0,0.01917808,44.29429,0.6810372805266254
nigeria,draw_28,Female,0.0,0.01917808,44.29429,0.6808170775894977
nigeria,draw_28,Male,0.0,0.01917808,44.29429,0.6625992504657761
pakistan,draw_28,Female,0.0,0.01917808,44.29429,0.38293388691481284
pakistan,draw_28,Male,0.0,0.01917808,44.29429,0.43933034852489555
ethiopia,draw_28,Female,0.0,0.01917808,44.4044,0.758810244418152
ethiopia,draw_28,Male,0.0,0.01917808,44.4044,0.6820846052993296
nigeria,draw_28,Female,0.0,0.01917808,44.4044,0.6819177119495842
nigeria,draw_28,Male,0.0,0.01917808,44.4044,0.6636857572497605
pakistan,draw_28,Female,0.0,0.01917808,44.4044,0.3840251992453455
pakistan,draw_28,Male,0.0,0.01917808,44.4044,0.4404020709422354
ethiopia,draw_28,Female,0.0,0.01917808,44.51451,0.7598513488865867
ethiopia,draw_28,Male,0.0,0.01917808,44.51451,0.6831323323836687
nigeria,draw_28,Female,0.0,0.01917808,44.51451,0.6830185651291591
nigeria,draw_28,Male,0.0,0.01917808,44.51451,0.6647723945121051
pakistan,draw_28,Female,0.0,0.01917808,44.51451,0.3851195257807112
pakistan,draw_28,Male,0.0,0.01917808,44.51451,0.4414754866676243
ethiopia,draw_28,Female,0.0,0.01917808,44.62462,0.7608925252893902
ethiopia,draw_28,Male,0.0,0.01917808,44.62462,0.6841804750648235
nigeria,draw_28,Female,0.0,0.01917808,44.62462,0.6841196869460303
nigeria,draw_28,Male,0.0,0.01917808,44.62462,0.6658593884740267
pakistan,draw_28,Female,0.0,0.01917808,44.62462,0.38621663190129557
pakistan,draw_28,Male,0.0,0.01917808,44.62462,0.4425504336688078
ethiopia,draw_28,Female,0.0,0.01917808,44.73473,0.7619332644076892
ethiopia,draw_28,Male,0.0,0.01917808,44.73473,0.6852282388972065
nigeria,draw_28,Female,0.0,0.01917808,44.73473,0.6852208087177044
nigeria,draw_28,Male,0.0,0.01917808,44.73473,0.6669465514236411
pakistan,draw_28,Female,0.0,0.01917808,44.73473,0.3873166664923667
pakistan,draw_28,Male,0.0,0.01917808,44.73473,0.4436270587785254
ethiopia,draw_28,Female,0.0,0.01917808,44.84484,0.762973628114345
ethiopia,draw_28,Male,0.0,0.01917808,44.84484,0.686276465656031
nigeria,draw_28,Female,0.0,0.01917808,44.84484,0.6863220876467158
nigeria,draw_28,Male,0.0,0.01917808,44.84484,0.6680340011047421
pakistan,draw_28,Female,0.0,0.01917808,44.84484,0.38841967044944503
pakistan,draw_28,Male,0.0,0.01917808,44.84484,0.4447051398805215
ethiopia,draw_28,Female,0.0,0.01917808,44.95495,0.7640137784221525
ethiopia,draw_28,Male,0.0,0.01917808,44.95495,0.68732454920237
nigeria,draw_28,Female,0.0,0.01917808,44.95495,0.6874233342228294
nigeria,draw_28,Male,0.0,0.01917808,44.95495,0.6691214969603744
pakistan,draw_28,Female,0.0,0.01917808,44.95495,0.38952530081272885
pakistan,draw_28,Male,0.0,0.01917808,44.95495,0.4457849621851224
ethiopia,draw_28,Female,0.0,0.01917808,45.06507,0.7650535071177111
ethiopia,draw_28,Male,0.0,0.01917808,45.06507,0.688373346283188
nigeria,draw_28,Female,0.0,0.01917808,45.06507,0.688524662703893
nigeria,draw_28,Male,0.0,0.01917808,45.06507,0.670209693802113
pakistan,draw_28,Female,0.0,0.01917808,45.06507,0.39063392203469366
pakistan,draw_28,Male,0.0,0.01917808,45.06507,0.4468665130587418
ethiopia,draw_28,Female,0.0,0.01917808,45.17518,0.7660927242203764
ethiopia,draw_28,Male,0.0,0.01917808,45.17518,0.6894221255077932
nigeria,draw_28,Female,0.0,0.01917808,45.17518,0.6896259607225209
nigeria,draw_28,Male,0.0,0.01917808,45.17518,0.6712980535383126
pakistan,draw_28,Female,0.0,0.01917808,45.17518,0.39174545666926086
pakistan,draw_28,Male,0.0,0.01917808,45.17518,0.4479496758155544
ethiopia,draw_28,Female,0.0,0.01917808,45.28529,0.767131864930384
ethiopia,draw_28,Male,0.0,0.01917808,45.28529,0.690471089246205
nigeria,draw_28,Female,0.0,0.01917808,45.28529,0.6907274644137029
nigeria,draw_28,Male,0.0,0.01917808,45.28529,0.6723866380736124
pakistan,draw_28,Female,0.0,0.01917808,45.28529,0.39285996931784145
pakistan,draw_28,Male,0.0,0.01917808,45.28529,0.4490343935427559
ethiopia,draw_28,Female,0.0,0.01917808,45.3954,0.7681703897215497
ethiopia,draw_28,Male,0.0,0.01917808,45.3954,0.691520323604996
nigeria,draw_28,Female,0.0,0.01917808,45.3954,0.6918292632241707
nigeria,draw_28,Male,0.0,0.01917808,45.3954,0.6734754715241097
pakistan,draw_28,Female,0.0,0.01917808,45.3954,0.39397746586369475
pakistan,draw_28,Male,0.0,0.01917808,45.3954,0.4501208181111129
ethiopia,draw_28,Female,0.0,0.01917808,45.50551,0.7692088499723064
ethiopia,draw_28,Male,0.0,0.01917808,45.50551,0.6925695782423704
nigeria,draw_28,Female,0.0,0.01917808,45.50551,0.6929311142623487
nigeria,draw_28,Male,0.0,0.01917808,45.50551,0.674564918881909
pakistan,draw_28,Female,0.0,0.01917808,45.50551,0.3950977626782181
pakistan,draw_28,Male,0.0,0.01917808,45.50551,0.4512089038365989
ethiopia,draw_28,Female,0.0,0.01917808,45.61562,0.7702467619700445
ethiopia,draw_28,Male,0.0,0.01917808,45.61562,0.6936193187443355
nigeria,draw_28,Female,0.0,0.01917808,45.61562,0.69403308231907
