sex_of_child,value,age_group_id,exposure,location,draw
Male,1.9960127329514763,3,45.61562,ethiopia,draw_109
Female,1.9654623520765953,2,45.72573,ethiopia,draw_109
Male,2.394278458973794,2,45.72573,ethiopia,draw_109
Female,1.863911682444826,3,45.72573,ethiopia,draw_109
Male,1.9932110158607452,3,45.72573,ethiopia,draw_109
Female,1.9617587875832987,2,45.83584,ethiopia,draw_109
Male,2.389720710940101,2,45.83584,ethiopia,draw_109
Female,1.8611998672997778,3,45.83584,ethiopia,draw_109
Male,1.990414988747244,3,45.83584,ethiopia,draw_109
Female,1.9580669067132384,2,45.94595,ethiopia,draw_109
Male,2.3851748736049583,2,45.94595,ethiopia,draw_109
Female,1.8584938293398203,3,45.94595,ethiopia,draw_109
Male,1.9876247670955223,3,45.94595,ethiopia,draw_109
Female,1.954385607911143,2,46.05606,ethiopia,draw_109
Male,2.380640590123116,2,46.05606,ethiopia,draw_109
Female,1.85579296945389,3,46.05606,ethiopia,draw_109
Male,1.9848402107874947,3,46.05606,ethiopia,draw_109
Female,1.950717560124124,2,46.16617,ethiopia,draw_109
Male,2.376118244352996,2,46.16617,ethiopia,draw_109
Female,1.8530988691778165,3,46.16617,ethiopia,draw_109
Male,1.9820615029387998,3,46.16617,ethiopia,draw_109
Female,1.9470611691629707,2,46.27628,ethiopia,draw_109
Male,2.371159128326432,2,46.27628,ethiopia,draw_109
Female,1.850410365616507,3,46.27628,ethiopia,draw_109
Male,1.979010449399703,3,46.27628,ethiopia,draw_109
Female,1.9434171332453745,2,46.38639,ethiopia,draw_109
Male,2.3659173830045277,2,46.38639,ethiopia,draw_109
Female,1.847728235939319,3,46.38639,ethiopia,draw_109
Male,1.9757822214921614,3,46.38639,ethiopia,draw_109
Female,1.9397846108519374,2,46.4965,ethiopia,draw_109
Male,2.360691059509155,2,46.4965,ethiopia,draw_109
Female,1.8450521014533956,3,46.4965,ethiopia,draw_109
Male,1.9725615203272673,3,46.4965,ethiopia,draw_109
Female,1.9361640003285623,2,46.60661,ethiopia,draw_109
Male,2.3554813953744573,2,46.60661,ethiopia,draw_109
Female,1.842381823310723,3,46.60661,ethiopia,draw_109
Male,1.969348854792431,3,46.60661,ethiopia,draw_109
Female,1.9325555865143096,2,46.71672,ethiopia,draw_109
Male,2.350286988752357,2,46.71672,ethiopia,draw_109
Female,1.839717694270714,3,46.71672,ethiopia,draw_109
Male,1.9661434932670387,3,46.71672,ethiopia,draw_109
Female,1.9289577026872082,2,46.82683,ethiopia,draw_109
Male,2.3451098509409176,2,46.82683,ethiopia,draw_109
Female,1.8370588278612467,3,46.82683,ethiopia,draw_109
Male,1.9629464513698067,3,46.82683,ethiopia,draw_109
Female,1.9253719890777765,2,46.93694,ethiopia,draw_109
Male,2.339948308783929,2,46.93694,ethiopia,draw_109
Female,1.8344063488770241,3,46.93694,ethiopia,draw_109
Male,1.9597569191632491,3,46.93694,ethiopia,draw_109
Female,1.9217978769651471,2,47.04705,ethiopia,draw_109
Male,2.3348022545340923,2,47.04705,ethiopia,draw_109
Female,1.8317598075120949,3,47.04705,ethiopia,draw_109
Male,1.956574885339531,3,47.04705,ethiopia,draw_109
Female,1.9182351833702125,2,47.15716,ethiopia,draw_109
Male,2.329670928999953,2,47.15716,ethiopia,draw_109
Female,1.8291192749076461,3,47.15716,ethiopia,draw_109
Male,1.9533998336205824,3,47.15716,ethiopia,draw_109
Female,1.914682945739927,2,47.26727,ethiopia,draw_109
Male,2.324556155977801,2,47.26727,ethiopia,draw_109
Female,1.8264842683217868,3,47.26727,ethiopia,draw_109
Male,1.950232979583944,3,47.26727,ethiopia,draw_109
Female,1.9111415447476712,2,47.37738,ethiopia,draw_109
Male,2.3194564625345486,2,47.37738,ethiopia,draw_109
Female,1.8238548504753858,3,47.37738,ethiopia,draw_109
Male,1.9470734276929098,3,47.37738,ethiopia,draw_109
Female,1.907611822536711,2,47.48749,ethiopia,draw_109
Male,2.314372643692326,2,47.48749,ethiopia,draw_109
Female,1.821231615226579,3,47.48749,ethiopia,draw_109
Male,1.943921517293603,3,47.48749,ethiopia,draw_109
Female,1.9040931020243714,2,47.5976,ethiopia,draw_109
Male,2.3093062414698555,2,47.5976,ethiopia,draw_109
Female,1.8186143100762178,3,47.5976,ethiopia,draw_109
Male,1.9407782587995124,3,47.5976,ethiopia,draw_109
Female,1.9005851134525558,2,47.70771,ethiopia,draw_109
Male,2.3042544890595917,2,47.70771,ethiopia,draw_109
Female,1.8160021394675896,3,47.70771,ethiopia,draw_109
Male,1.9376420272148236,3,47.70771,ethiopia,draw_109
Female,1.8970887209906628,2,47.81782,ethiopia,draw_109
Male,2.2992178155594787,2,47.81782,ethiopia,draw_109
Female,1.8133958222530464,3,47.81782,ethiopia,draw_109
Male,1.9345130390295961,3,47.81782,ethiopia,draw_109
Female,1.89360435837744,2,47.92793,ethiopia,draw_109
Male,2.2941981694671822,2,47.92793,ethiopia,draw_109
Female,1.8107958520587342,3,47.92793,ethiopia,draw_109
Male,1.9313923125471646,3,47.92793,ethiopia,draw_109
Female,1.890130820965922,2,48.03804,ethiopia,draw_109
Male,2.2891940016917793,2,48.03804,ethiopia,draw_109
Female,1.808201196494415,3,48.03804,ethiopia,draw_109
Male,1.928279068767562,3,48.03804,ethiopia,draw_109
Female,1.8866677435038752,2,48.14815,ethiopia,draw_109
Male,2.2842052828128185,2,48.14815,ethiopia,draw_109
Female,1.8056118755897013,3,48.14815,ethiopia,draw_109
Male,1.9251735092897868,3,48.14815,ethiopia,draw_109
Female,1.8832150267799943,2,48.25826,ethiopia,draw_109
Male,2.2792332848475394,2,48.25826,ethiopia,draw_109
Female,1.8030281535693073,3,48.25826,ethiopia,draw_109
Male,1.9220763055892656,3,48.25826,ethiopia,draw_109
Female,1.8797734309246252,2,48.36837,ethiopia,draw_109
Male,2.2742754494464545,2,48.36837,ethiopia,draw_109
Female,1.8004501360143668,3,48.36837,ethiopia,draw_109
Male,1.9189858528419979,3,48.36837,ethiopia,draw_109
Female,1.876342143493802,2,48.47848,ethiopia,draw_109
Male,2.269332739726341,2,48.47848,ethiopia,draw_109
Female,1.797877361431842,3,48.47848,ethiopia,draw_109
Male,1.9159029827974146,3,48.47848,ethiopia,draw_109
Female,1.872920488761118,2,48.58859,ethiopia,draw_109
Male,2.264404901391807,2,48.58859,ethiopia,draw_109
Female,1.7953095733655426,3,48.58859,ethiopia,draw_109
Male,1.9128275826708352,3,48.58859,ethiopia,draw_109
Female,1.8695109056775925,2,48.6987,ethiopia,draw_109
Male,2.2594928740289206,2,48.6987,ethiopia,draw_109
Female,1.792748091005444,3,48.6987,ethiopia,draw_109
Male,1.9097599977859612,3,48.6987,ethiopia,draw_109
Female,1.8661123125489496,2,48.80881,ethiopia,draw_109
Male,2.254595468796929,2,48.80881,ethiopia,draw_109
Female,1.7901920836058505,3,48.80881,ethiopia,draw_109
Male,1.906699548112554,3,48.80881,ethiopia,draw_109
Female,1.8627255986674305,2,48.91892,ethiopia,draw_109
Male,2.249712608877407,2,48.91892,ethiopia,draw_109
Female,1.7876420867834415,3,48.91892,ethiopia,draw_109
Male,1.9036463067054856,3,48.91892,ethiopia,draw_109
Female,1.859350615588025,2,49.02903,ethiopia,draw_109
Male,2.244845259818931,2,49.02903,ethiopia,draw_109
Female,1.7850980169414894,3,49.02903,ethiopia,draw_109
Male,1.9006006329538787,3,49.02903,ethiopia,draw_109
Female,1.8559858657970079,2,49.13914,ethiopia,draw_109
Male,2.239992904503488,2,49.13914,ethiopia,draw_109
Female,1.782559153695144,3,49.13914,ethiopia,draw_109
Male,1.897562347072093,3,49.13914,ethiopia,draw_109
Female,1.8526332121401772,2,49.24925,ethiopia,draw_109
